X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
0.089486,51.575014,0,0,102,19.2,2018/01/29 09:49:50+00,,,,,,,,,,,,,,,,,,,,,
0.089593,51.575032,0,0,103,19,2018/01/29 09:49:53+00,,,,,,,,,,,,,,,,,,,,,
0.089678,51.575043,0,0,104,19,2018/01/29 09:49:56+00,,,,,,,,,,,,,,,,,,,,,
0.089703,51.575047,0,0,105,19,2018/01/29 09:49:57+00,,,,,,,,,,,,,,,,,,,,,
0.089832,51.575064,0,0,106,19.3,2018/01/29 09:50:03+00,,,,,,,,,,,,,,,,,,,,,
0.089875,51.575067,0,0,107,19.5,2018/01/29 09:50:05+00,,,,,,,,,,,,,,,,,,,,,
0.09001,51.575094,0,0,108,20.3,2018/01/29 09:50:11+00,,,,,,,,,,,,,,,,,,,,,
0.09018,51.575116,0,0,109,21,2018/01/29 09:50:19+00,,,,,,,,,,,,,,,,,,,,,
0.090274,51.575146,0,0,110,21,2018/01/29 09:50:25+00,,,,,,,,,,,,,,,,,,,,,
0.090291,51.575149,0,0,111,21,2018/01/29 09:50:26+00,,,,,,,,,,,,,,,,,,,,,
0.090313,51.575154,0,0,112,21,2018/01/29 09:50:28+00,,,,,,,,,,,,,,,,,,,,,
0.090553,51.575234,0,0,113,21,2018/01/29 09:51:09+00,,,,,,,,,,,,,,,,,,,,,
0.090578,51.575236,0,0,114,21,2018/01/29 09:51:10+00,,,,,,,,,,,,,,,,,,,,,
0.090649,51.575249,0,0,115,21,2018/01/29 09:51:13+00,,,,,,,,,,,,,,,,,,,,,
0.090727,51.57526,0,0,116,21,2018/01/29 09:51:16+00,,,,,,,,,,,,,,,,,,,,,
0.090745,51.575259,0,0,117,21,2018/01/29 09:51:17+00,,,,,,,,,,,,,,,,,,,,,
0.090908,51.575122,0,0,118,20.2,2018/01/29 09:51:34+00,,,,,,,,,,,,,,,,,,,,,
0.090918,51.575111,0,0,119,20.1,2018/01/29 09:51:35+00,,,,,,,,,,,,,,,,,,,,,
0.090946,51.57507,0,0,120,19.6,2018/01/29 09:51:38+00,,,,,,,,,,,,,,,,,,,,,
0.091077,51.574937,0,0,121,18,2018/01/29 09:51:46+00,,,,,,,,,,,,,,,,,,,,,
0.091094,51.57494,0,0,122,18.3,2018/01/29 09:51:47+00,,,,,,,,,,,,,,,,,,,,,
0.091134,51.574941,0,0,123,18.3,2018/01/29 09:51:49+00,,,,,,,,,,,,,,,,,,,,,
0.091147,51.574938,0,0,124,18.3,2018/01/29 09:51:50+00,,,,,,,,,,,,,,,,,,,,,
0.091179,51.57494,0,0,125,18.4,2018/01/29 09:51:52+00,,,,,,,,,,,,,,,,,,,,,
0.091741,51.574948,0,0,126,18.7,2018/01/29 09:52:31+00,,,,,,,,,,,,,,,,,,,,,
0.091796,51.574933,0,0,127,18.7,2018/01/29 09:52:34+00,,,,,,,,,,,,,,,,,,,,,
0.09183,51.574937,0,0,128,18.7,2018/01/29 09:52:36+00,,,,,,,,,,,,,,,,,,,,,
0.091914,51.574938,0,0,129,18.8,2018/01/29 09:53:00+00,,,,,,,,,,,,,,,,,,,,,
0.092046,51.574942,0,0,130,18.8,2018/01/29 09:53:04+00,,,,,,,,,,,,,,,,,,,,,
0.092111,51.574948,0,0,131,18.8,2018/01/29 09:53:06+00,,,,,,,,,,,,,,,,,,,,,
0.09227,51.574949,0,0,132,18.9,2018/01/29 09:53:10+00,,,,,,,,,,,,,,,,,,,,,
0.092325,51.574957,0,0,133,19,2018/01/29 09:53:11+00,,,,,,,,,,,,,,,,,,,,,
0.09257,51.574959,0,0,134,19,2018/01/29 09:53:16+00,,,,,,,,,,,,,,,,,,,,,
0.092595,51.574938,0,0,135,19,2018/01/29 09:53:17+00,,,,,,,,,,,,,,,,,,,,,
0.092618,51.574796,0,0,136,19,2018/01/29 09:53:21+00,,,,,,,,,,,,,,,,,,,,,
0.092615,51.574756,0,0,137,19,2018/01/29 09:53:22+00,,,,,,,,,,,,,,,,,,,,,
0.092616,51.57451,0,0,138,19,2018/01/29 09:53:28+00,,,,,,,,,,,,,,,,,,,,,
0.092612,51.574474,0,0,139,19,2018/01/29 09:53:29+00,,,,,,,,,,,,,,,,,,,,,
0.092614,51.574349,0,0,140,19,2018/01/29 09:53:32+00,,,,,,,,,,,,,,,,,,,,,
0.092614,51.574179,0,0,141,19,2018/01/29 09:53:36+00,,,,,,,,,,,,,,,,,,,,,
0.092619,51.573922,0,0,142,18.9,2018/01/29 09:53:42+00,,,,,,,,,,,,,,,,,,,,,
0.092619,51.573832,0,0,143,18.9,2018/01/29 09:53:44+00,,,,,,,,,,,,,,,,,,,,,
0.092641,51.573648,0,0,144,19,2018/01/29 09:53:48+00,,,,,,,,,,,,,,,,,,,,,
0.092628,51.57346,0,0,145,19,2018/01/29 09:53:53+00,,,,,,,,,,,,,,,,,,,,,
0.092645,51.573182,0,0,146,18.4,2018/01/29 09:54:00+00,,,,,,,,,,,,,,,,,,,,,
0.092654,51.572898,0,0,147,17.6,2018/01/29 09:54:07+00,,,,,,,,,,,,,,,,,,,,,
0.092656,51.572655,0,0,148,17,2018/01/29 09:54:14+00,,,,,,,,,,,,,,,,,,,,,
